BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,EYB,STORIES,SALEDATE,PRICE,QUALIFIED,SALE_NUM,GBA,BLDG_NUM,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,SOURCE,CMPLX_NUM,LIVING_GBA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_NBHD,ASSESSMENT_SUBNBHD,CENSUS_TRACT,CENSUS_BLOCK,WARD,SQUARE,X,Y,QUADRANT
1,0,Forced Air,Y,,2,0,1967.0,1979.0,1967,,2018-06-13 00:00:00,308000.0,Q,2,,1,,,,,,,,,0,17,95,2018-07-22 18:01:38,Condominium,1014.0,490.0,,,,20037.0,,38.9047162,-77.04944216,Central-tri 1,,5500.0,,Ward 2,51.0,-77.04944445595534,38.90472365301228,NW
1,0,Warm Cool,Y,,3,1,1965.0,,1965,,2000-12-12 00:00:00,109000.0,Q,1,,1,,,,,,,,,0,17,586,2018-07-22 18:01:38,Condominium,2275.0,918.0,,,,20024.0,,38.87295308,-77.018229725,Southwest Waterfront,,11000.0,,Ward 6,504.0,-77.0182320053148,38.87296053228547,SW
1,0,Forced Air,Y,,4,1,2006.0,2006.0,2006,,2016-01-11 00:00:00,,U,6,,1,,,,,,,,,0,17,214,2018-07-22 18:01:38,Condominium,2761.0,774.0,,,,20005.0,,38.91049082,-77.03344358,Old City 2,040 E Old City 2,5201.0,,Ward 2,209.0,-77.03344587882418,38.91049827755338,NW
1,0,Warm Cool,Y,1.0,6,3,1937.0,1987.0,1947,2.0,2002-04-12 00:00:00,,U,1,971.0,1,2 Story,Semi-Detached,Above Average,Average,Common Brick,Built Up,Hardwood,1.0,0,13,3577,2018-07-22 18:01:43,Residential,,,3435 CARPENTER STREET SE,WASHINGTON,DC,20020.0,18S UJ 30367 04186,38.8701717,-76.95535038,Hillcrest,028 B Hillcrest,9901.0,009901 2028,Ward 7,5537.0,-76.95549380621544,38.870105954614,SE
1,0,Forced Air,Y,,3,1,1931.0,2009.0,1931,,2014-01-14 00:00:00,264000.0,Q,1,,1,,,,,,,,,0,16,1168,2018-07-22 18:01:38,Condominium,3174.0,823.0,,,,20012.0,,38.97282302,-77.01908035,Brightwood,006 D Brightwood,1702.0,,Ward 4,3275.0,-77.01908264271971,38.97283048416732,NW
1,0,Ht Pump,Y,,3,1,1940.0,1975.0,1940,,2007-05-29 00:00:00,,U,1,,1,,,,,,,,,1,16,1066,2018-07-22 18:01:38,Condominium,1279.0,608.0,,,,20020.0,,38.86444768,-76.95130589,Hillcrest,028 C Hillcrest,7603.0,,Ward 7,5673.0,-76.95130815180231,38.86445546230031,SE
1,1,Forced Air,Y,,5,1,2000.0,2000.0,1900,,2017-09-27 00:00:00,542000.0,Q,5,,1,,,,,,,,,0,16,313,2018-07-22 18:01:38,Condominium,2506.0,888.0,,,,20001.0,,38.91724468,-77.02738455,Old City 2,040 F Old City 2,4400.0,,Ward 1,304.0,-77.02738683545661,38.91725213304133,NW
4,0,Hot Water Rad,N,4.0,12,4,1932.0,,1954,2.0,1998-06-16 00:00:00,,U,1,2964.0,1,2 Story,Multi,Average,Average,Common Brick,Metal- Sms,Hardwood,4.0,0,23,2425,2018-07-22 18:01:43,Residential,,,1110 RAUM STREET NE,WASHINGTON,DC,20002.0,18S UJ 27776 08596,38.90937946,-76.9863072,Trinidad,052 A Trinidad,8804.0,008804 2013,Ward 5,4053.0,-76.98577045296885,38.90971977995003,NE
2,0,Ht Pump,Y,,4,2,1922.0,2014.0,1922,,2014-02-25 00:00:00,650000.0,U,2,,1,,,,,,,,,0,16,871,2018-07-22 18:01:38,Condominium,5082.0,1060.0,,,,20010.0,,38.93020213,-77.02874231999998,Columbia Heights,015 D Columbia Heights,3000.0,,Ward 1,2844.0,-77.02874461358513,38.930209593108145,NW
2,1,Hot Water Rad,Y,,4,2,2002.0,,2002,,2015-06-04 00:00:00,1065000.0,Q,4,,1,,,,,,,,,0,16,1173,2018-07-22 18:01:38,Condominium,2564.0,1345.0,,,,20007.0,,38.90650087,-77.05627679999998,Georgetown,025 J Georgetown,100.0,,Ward 2,1215.0,-77.05627909774448,38.90650832163847,NW
